Id,created_at,cleaned_text,type,aspect,deberta_sentiment,confidence
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Religious Beliefs,negative,0.9216243
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Race,negative,0.9303524
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,National Identity,negative,0.9338588
4,Mon Jan 06 03:22:36 +0000 2025,malaysia allowed palestinian refugees in their country now the same refugees have started violence there not to forget malaysia is a muslim majority country and yet this giving these people shelter is the same as digging your own grave,Fear-Mongering & Conspiracy,Violence,negative,0.9511108
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Secularism,positive,0.8184495
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Religious Beliefs,positive,0.66324955
5,Sat Jan 25 01:10:54 +0000 2025,the malays are strongly tolerant but not a ticket for the head of the head a lot of freedom has been given but some still want to be more religious everything has a limit if the malays cant wait the other people are here,Cultural Resistance to Islamization,Race,positive,0.8581161
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Secularism,negative,0.9512264
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Religious Beliefs,negative,0.8943301
6,Wed Jan 29 10:52:08 +0000 2025,wanna know why penunggang agamas are scared of secularism because they are afraid they no longer get to weaponise religion for political mileage so they convince you secularism is dangerous because it ll be the end of them,Cultural Resistance to Islamization,Politics,negative,0.9178374
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,Islamic Identity,negative,0.4918414
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,Race,neutral,0.49356455
7,Tue Jan 14 11:07:07 +0000 2025,quick history lesson malaysia rejected the merger because malaysia wanted a muslim majority nation whereas lee kuan yew wanted equal rights for everyone singapore won in the end,Religious Comparison,National Identity,neutral,0.5058287
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Islamic Identity,negative,0.813467
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Institutions,negative,0.7515302
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Race,negative,0.80289125
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Politics,negative,0.8117617
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.81978625
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Race,negative,0.9128904
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Violence,negative,0.94277304
10,Wed Jan 08 08:52:55 +0000 2025,its good for the temples and churches in the promotion  our world class mosque and one of the tourist attractions is not promoted  this is when the minister of drunk and racist tourism,Cultural Resistance to Islamization,Islamic Identity,negative,0.41712812
10,Wed Jan 08 08:52:55 +0000 2025,its good for the temples and churches in the promotion  our world class mosque and one of the tourist attractions is not promoted  this is when the minister of drunk and racist tourism,Cultural Resistance to Islamization,Race,negative,0.93812543
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Islamic Identity,negative,0.5062075
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Institutions,neutral,0.5187518
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Politics,neutral,0.51114595
12,Sat Jan 25 03:19:52 +0000 2025,we are a strict pas party in matters of muslims protesting lions to the office of government like this a  1/4 the act of celebrating the lion seems to be associated with allah almighty and can be a shirk and apostasy to the muslims who say gong xi fa cai is,Religious Supremacy,Islamic Identity,negative,0.8735518
12,Sat Jan 25 03:19:52 +0000 2025,we are a strict pas party in matters of muslims protesting lions to the office of government like this a  1/4 the act of celebrating the lion seems to be associated with allah almighty and can be a shirk and apostasy to the muslims who say gong xi fa cai is,Religious Supremacy,Politics,negative,0.7051086
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Islamic Identity,negative,0.62327844
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Secularism,neutral,0.5038356
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Politics,negative,0.5209908
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Islamic Identity,neutral,0.9868548
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Secularism,neutral,0.9710934
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Institutions,neutral,0.9884127
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Race,neutral,0.9856566
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,National Identity,neutral,0.9808287
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Politics,neutral,0.99185807
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.7593215
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Secularism,negative,0.6712391
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Race,negative,0.8762398
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,National Identity,negative,0.79322016
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Islamic Identity,neutral,0.92430484
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Secularism,neutral,0.74407375
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Religious Beliefs,neutral,0.93522465
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Race,neutral,0.9117624
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Islamic Identity,neutral,0.53466326
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Secularism,negative,0.54676926
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Race,negative,0.60797125
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,National Identity,negative,0.5037788
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Politics,negative,0.47007328
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Islamic Identity,negative,0.76719457
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Secularism,negative,0.7687005
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Race,negative,0.7365573
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,National Identity,negative,0.7962247
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Politics,negative,0.7683014
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Islamic Identity,neutral,0.8803437
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Institutions,neutral,0.8925407
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Race,neutral,0.86644477
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Politics,neutral,0.89764863
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Islamic Identity,neutral,0.6403759
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Race,negative,0.68925303
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,National Identity,negative,0.5647263
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Politics,negative,0.69090194
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,Secularism,neutral,0.46941602
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,Race,negative,0.8879554
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,National Identity,negative,0.82992864
22,Sat Jan 25 14:27:22 +0000 2025,this is the malay hipocrisy dilemma do not eat pigs not to pray fast enough for one month of umrah every year but corruption and robbery,Cultural Resistance to Islamization,Race,negative,0.9271987
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Islamic Identity,positive,0.8791338
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Secularism,negative,0.9863744
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Race,neutral,0.44737354
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,National Identity,neutral,0.42227697
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,Secularism,negative,0.95382166
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,Race,negative,0.95113236
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,National Identity,negative,0.93122905
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,Islamic Identity,neutral,0.74100363
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,Race,neutral,0.8318835
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,National Identity,neutral,0.81512755
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Religious Beliefs,negative,0.898925
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Institutions,negative,0.9413165
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Race,negative,0.9406648
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,National Identity,negative,0.92998767
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Politics,negative,0.9323389
27,Sun Jan 12 13:45:44 +0000 2025,jakim is channeled rm  million  billion where do you use it do not be lazy there is tu,Institutional Distrust,Institutions,neutral,0.9434072
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Islamic Identity,neutral,0.7603205
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Race,neutral,0.83578
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Politics,neutral,0.76975745
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Religious Beliefs,neutral,0.97551584
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Race,neutral,0.72359824
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Politics,neutral,0.9478472
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Social Issues,neutral,0.94682807
30,Thu Jan 02 09:15:38 +0000 2025,sin and reward are gods business if hadi awang took care of him he would do his heart today he says the sin of secularism is greater than killing i am worried that if any of his followers take this argument seriously a case such as memali can be repeated,Fear-Mongering & Conspiracy,Secularism,negative,0.98570466
30,Thu Jan 02 09:15:38 +0000 2025,sin and reward are gods business if hadi awang took care of him he would do his heart today he says the sin of secularism is greater than killing i am worried that if any of his followers take this argument seriously a case such as memali can be repeated,Fear-Mongering & Conspiracy,Politics,negative,0.8779853
31,Sat Jan 18 02:39:54 +0000 2025,kan said this stupid man is always cherry picking religion when a married man  is busy talking to the sunnah of the prophet but when a fathers chapter he should take his responsibility as a guardian of the out of touch this kind of guy creates feminism,Cultural Resistance to Islamization,Politics,negative,0.9165042
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Islamic Identity,positive,0.6843198
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Secularism,neutral,0.8445315
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Religious Beliefs,neutral,0.46447316
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Institutions,positive,0.48138702
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Social Issues,neutral,0.5056282
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,Islamic Identity,negative,0.6493467
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,Race,negative,0.65013164
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,National Identity,negative,0.76512134
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,Islamic Identity,negative,0.84109616
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,Race,negative,0.9249932
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,National Identity,negative,0.9119919
