Id,created_at,cleaned_text,type,aspect
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Institutions
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Race
8,Thu Jan 30 02:15:38 +0000 2025,the mca seems to cultivate hatred for the malay muslims by posting in chinese in conjunction with israk mikraj so that the malays do not understand they question the aid to palestine for jakim and the distribution of the quran as if it were all,Cultural Resistance to Islamization,Politics
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Islamic Identity
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Race
9,Fri Jan 03 07:53:00 +0000 2025,islam is increasingly threatened by the malays now that they have dared to claim to be priests  1/4 rise to muslims fight the christian agenda until when we want to sit still,Fear-Mongering & Conspiracy,Violence
10,Wed Jan 08 08:52:55 +0000 2025,its good for the temples and churches in the promotion  our world class mosque and one of the tourist attractions is not promoted  this is when the minister of drunk and racist tourism,Cultural Resistance to Islamization,Islamic Identity
10,Wed Jan 08 08:52:55 +0000 2025,its good for the temples and churches in the promotion  our world class mosque and one of the tourist attractions is not promoted  this is when the minister of drunk and racist tourism,Cultural Resistance to Islamization,Race
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Islamic Identity
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Institutions
11,Tue Jan 28 00:09:37 +0000 2025,the wolf is the cause of a uturn government for a free toll during cny but he had a crazy level of anger it is not possible for the government to help the palestinians of the palestinians in the process of the quranic printing government initiative complaint about jakims budget again see that,Cultural Resistance to Islamization,Politics
12,Sat Jan 25 03:19:52 +0000 2025,we are a strict pas party in matters of muslims protesting lions to the office of government like this a  1/4 the act of celebrating the lion seems to be associated with allah almighty and can be a shirk and apostasy to the muslims who say gong xi fa cai is,Religious Supremacy,Islamic Identity
12,Sat Jan 25 03:19:52 +0000 2025,we are a strict pas party in matters of muslims protesting lions to the office of government like this a  1/4 the act of celebrating the lion seems to be associated with allah almighty and can be a shirk and apostasy to the muslims who say gong xi fa cai is,Religious Supremacy,Politics
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Islamic Identity
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Secularism
13,Wed Jan 01 08:28:31 +0000 2025,the mind of the pas president sin secularism is greater than the slander and killing the theory of secularism that separates the affairs of human life from religion is a human creation among non muslim philosophers including the akbar shirk that oppose the monotheism,Religious Supremacy,Politics
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Islamic Identity
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Secularism
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Institutions
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Race
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,National Identity
14,Thu Jan 02 03:37:24 +0000 2025,secular  amp islamic political ulamak no  malaysia releases the latest arguments he said slandering and killing it was not as bad as secularism the beginning of the new year began with the  hadi awang mandate of the  a     a  i read the proposition,Religious Supremacy,Politics
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Islamic Identity
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Secularism
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,Race
15,Mon Jan 27 20:25:44 +0000 2025,bad solution albania is a peaceful secular muslim country in europe they dont deserve being treated like that relocate gaza to indoensia and malaysia,Fear-Mongering & Conspiracy,National Identity
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Islamic Identity
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Secularism
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Religious Beliefs
16,Thu Jan 09 07:01:45 +0000 2025,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up,Cultural Resistance to Islamization,Race
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Islamic Identity
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Secularism
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Race
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,National Identity
17,Mon Jan 06 15:02:27 +0000 2025,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points,Cultural Resistance to Islamization,Politics
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Islamic Identity
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Secularism
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Race
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,National Identity
18,Sun Jan 05 11:25:49 +0000 2025,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms,Institutional Distrust,Politics
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Islamic Identity
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Institutions
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Race
19,Thu Jan 30 14:23:04 +0000 2025,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she,Cultural Resistance to Islamization,Politics
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Islamic Identity
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Race
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,National Identity
20,Fri Jan 10 02:55:35 +0000 2025,i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene,Cultural Resistance to Islamization,Politics
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,Secularism
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,Race
21,Wed Jan 08 09:26:05 +0000 2025,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,Directly Hostile Terms,National Identity
22,Sat Jan 25 14:27:22 +0000 2025,this is the malay hipocrisy dilemma do not eat pigs not to pray fast enough for one month of umrah every year but corruption and robbery,Cultural Resistance to Islamization,Race
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Islamic Identity
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Secularism
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,Race
23,Sun Jan 19 02:49:36 +0000 2025,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution,Religious Supremacy,National Identity
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,Secularism
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,Race
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but,Cultural Resistance to Islamization,National Identity
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,Islamic Identity
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,Race
25,Thu Jan 23 19:40:38 +0000 2025,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good,Fear-Mongering & Conspiracy,National Identity
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Religious Beliefs
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Institutions
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Race
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,National Identity
26,Sat Jan 04 17:21:12 +0000 2025,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion,Institutional Distrust,Politics
27,Sun Jan 12 13:45:44 +0000 2025,jakim is channeled rm  million  billion where do you use it do not be lazy there is tu,Institutional Distrust,Institutions
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Islamic Identity
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Race
28,Mon Jan 27 07:51:22 +0000 2025,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran,Cultural Resistance to Islamization,Politics
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Religious Beliefs
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Race
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Politics
29,Mon Jan 13 06:11:25 +0000 2025,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools,Cultural Resistance to Islamization,Social Issues
30,Thu Jan 02 09:15:38 +0000 2025,sin and reward are gods business if hadi awang took care of him he would do his heart today he says the sin of secularism is greater than killing i am worried that if any of his followers take this argument seriously a case such as memali can be repeated,Fear-Mongering & Conspiracy,Secularism
30,Thu Jan 02 09:15:38 +0000 2025,sin and reward are gods business if hadi awang took care of him he would do his heart today he says the sin of secularism is greater than killing i am worried that if any of his followers take this argument seriously a case such as memali can be repeated,Fear-Mongering & Conspiracy,Politics
31,Sat Jan 18 02:39:54 +0000 2025,kan said this stupid man is always cherry picking religion when a married man  is busy talking to the sunnah of the prophet but when a fathers chapter he should take his responsibility as a guardian of the out of touch this kind of guy creates feminism,Cultural Resistance to Islamization,Politics
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Islamic Identity
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Secularism
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Religious Beliefs
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Institutions
32,Wed Jan 15 03:04:03 +0000 2025,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money,Cultural Resistance to Islamization,Social Issues
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,Islamic Identity
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,Race
33,Wed Jan 22 07:36:57 +0000 2025,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct,Cultural Resistance to Islamization,National Identity
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,Islamic Identity
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,Race
34,Sat Jan 25 00:51:37 +0000 2025,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for,Cultural Resistance to Islamization,National Identity
35,Fri Jan 10 03:34:53 +0000 2025,when you want to pull the votes of the malay people with a luncheon eating in a scarf with a scarf there is another quranic verse but when you use the temple church in a video visiting malaysia how much does he want to pull and what kind of shame to bring about malaysia us,Cultural Resistance to Islamization,Islamic Identity
35,Fri Jan 10 03:34:53 +0000 2025,when you want to pull the votes of the malay people with a luncheon eating in a scarf with a scarf there is another quranic verse but when you use the temple church in a video visiting malaysia how much does he want to pull and what kind of shame to bring about malaysia us,Cultural Resistance to Islamization,Race
35,Fri Jan 10 03:34:53 +0000 2025,when you want to pull the votes of the malay people with a luncheon eating in a scarf with a scarf there is another quranic verse but when you use the temple church in a video visiting malaysia how much does he want to pull and what kind of shame to bring about malaysia us,Cultural Resistance to Islamization,National Identity
36,Mon Jan 27 12:02:02 +0000 2025,secular meltdown  found this absurd this is why i call seculars islamic  percenters more islamist than islamists cant fathom a muslim supporting bjp  or being nonabusive,Directly Hostile Terms,Islamic Identity
36,Mon Jan 27 12:02:02 +0000 2025,secular meltdown  found this absurd this is why i call seculars islamic  percenters more islamist than islamists cant fathom a muslim supporting bjp  or being nonabusive,Directly Hostile Terms,Secularism
37,Mon Jan 13 10:54:47 +0000 2025,for those who rarely read the provisions for religious schools belong to jakims provisions from  billion madani raised to  billion non muslims have no problem do not look for an allocation of  million want to find an issue can but be a little smart,Cultural Resistance to Islamization,Islamic Identity
37,Mon Jan 13 10:54:47 +0000 2025,for those who rarely read the provisions for religious schools belong to jakims provisions from  billion madani raised to  billion non muslims have no problem do not look for an allocation of  million want to find an issue can but be a little smart,Cultural Resistance to Islamization,Religious Beliefs
37,Mon Jan 13 10:54:47 +0000 2025,for those who rarely read the provisions for religious schools belong to jakims provisions from  billion madani raised to  billion non muslims have no problem do not look for an allocation of  million want to find an issue can but be a little smart,Cultural Resistance to Islamization,Institutions
37,Mon Jan 13 10:54:47 +0000 2025,for those who rarely read the provisions for religious schools belong to jakims provisions from  billion madani raised to  billion non muslims have no problem do not look for an allocation of  million want to find an issue can but be a little smart,Cultural Resistance to Islamization,Social Issues
38,Sat Jan 04 23:50:54 +0000 2025,this is a lot of mosques in malaysia in malaysia many riders and kids friendly eg cyberjaya umar al khattab bukit damansara khalid al walid keramat etc korang ni maybe so the new body goes to the mosque for sure to comment malicious islam,Directly Hostile Terms,Islamic Identity
