Id,created_at,full_text,label,type,explanation
13,Wed Jan 01 08:28:31 +0000 2025,Minda Presiden PAS DOSA SEKULARISME LEBIH BESAR DARIPADA FITNAH DAN MEMBUNUH Teori sekularisme yang memisahkan urusan kehidupan manusia daripada agama ialah ciptaan manusia dalam kalangan ahli falsafah bukan Islam termasuk dalam syirik akbar yang menentang aqidah tauhid yang https://t.co/H4IAt16qwh,1,Religious Supremacy,Declares secularism worse than murder and incompatible with Islamic faith; promotes Islamic supremacy.
14,Thu Jan 02 03:37:24 +0000 2025,SEKULAR &amp; ISLAM Ulamak Politik no. 1 Malaysia keluarkan dalil terbaru. Katanya Memfitnah dan Membunuh itu tidak seteruk fahaman sekularisme . Permulaan tahun baru dimulakan dengan dalil ala Amanat Hadi Awang tahun 1979 yang difatwakan haram ‚ÄçÔ∏è‚ÄçÔ∏è‚ÄçÔ∏è‚ÄçÔ∏è Saya baca dalil https://t.co/jaW96uUbMp,1,Religious Supremacy,Condemns secularism as worse than murder; asserts Islamic theological superiority.
15,Mon Jan 27 20:25:44 +0000 2025,BAD SOLUTION. ALBANIA IS A PEACEFUL SECULAR MUSLIM COUNTRY IN EUROPE. THEY DON'T DESERVE BEING TREATED LIKE THAT. RELOCATE GAZA TO INDOENSIA AND MALAYSIA.,1,Fear-Mongering & Conspiracy,Suggests relocating Gaza to Malaysia/Indonesia; implies threat from Muslims.
16,Thu Jan 09 07:01:45 +0000 2025,Haritu ada geng liberal kata melayu tak welcoming terhadap non-muslims utk masuk masjid siap buat meme lagi that s why tak ramai masuk islam katanya. Now mintak suruh letak masjid dalam video promosi punya la payah. Siap tanya mana dalil dasar penunggang agama. Bangang.,1,Cultural Resistance to Islamization,Insults liberal Muslims and mocks religious promotional policies with vulgarity.
17,Mon Jan 06 15:02:27 +0000 2025,Remind the ignorant members of DAP especially @hannahyeoh that Malaysia has Islam as the country's official religion and a native Muslim populace. It's not a Christian country nor a fully secular country. Stop repeating the pro-Zionist Evangelical hate preachers' talking points.,1,Cultural Resistance to Islamization,Attacks DAP and evangelicals while asserting Muslim primacy; mixes anti-Christian resentment.
18,Sun Jan 05 11:25:49 +0000 2025,@zaidibrahim Islam being the official religion has been overly abused far too much in Secular Malaysia since 1969 against non Muslim migrant races and for Malay and Muslim supremacy especially by Makutty and Anwar using the Natives of Sabah and Sarawak as useful 'tools' .Reforms? https://t.co/xgHkD4AFcc,1,Institutional Distrust,Accuses Islam of being abused for ethnic supremacy since 1969; distrusts Islamic governance.
19,Thu Jan 30 14:23:04 +0000 2025,Mamat ni Ahli Majlis MBPG dari parti MCA. Dia tulis posting dalam bahasa Cina yang translationnya seolah2 mengata Melayu gila Ceritanya dia setuju dengan hasutan MCA Johor yang persoalkan polisi Kerajaan ke atas Palestin dan JAKIM dan derma Al-Quran seluruh dunia. Dia https://t.co/d0LbCuJQ6i,1,Cultural Resistance to Islamization,Frames critique of Islamic institutions as racial provocation. Implicit cultural clash.
20,Fri Jan 10 02:55:35 +0000 2025,Nak datang malaysia boleh tapi cari kerja proper la. Ni sibuk buat bisnes haram tepi jalan la kedai makan ntah halal ke tak photographer haram la kutip duit parking sedekah. Semak gile buruk pemandangan,1,Cultural Resistance to Islamization,"Associates ìharamî business with foreign presence, with disdainful tone."
21,Wed Jan 08 09:26:05 +0000 2025,From cased studi movement from Malaysia it just bunch if moron btw. And yup they get label by wahabi (this baration was intriduce by secular and patriot). While it's clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,1,Directly Hostile Terms,Insults religious movements from Malaysia and Arab world; demeaning and dismissive.
22,Sat Jan 25 14:27:22 +0000 2025,This is The Malay Hipocrisy Dilemma! Tak makan babi tak tinggal solat puasa cukup satu bulan umrah setiap tahun tapi rasuah dan menyamun.,1,Cultural Resistance to Islamization,Frames Malay religiosity as superficial; cynical and dismissive.
23,Sun Jan 19 02:49:36 +0000 2025,Malaysia must abandon secular ideas and influence and focus on building the country around Islamic values in accordance with the Federal Constitution.,1,Religious Supremacy,Advocates abandoning secularism in favor of Islamic rule.
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in Malaysia. freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff. freedom of beliefs but you could be punished with death for denouncing the religion. freedom of beliefs they say but,1,Cultural Resistance to Islamization,"Highlights supposed contradictions in religious freedom, with accusatory tone."
25,Thu Jan 23 19:40:38 +0000 2025,Moghul Mahal Restaurent in Kuala Lumpur Tower in the capital of Malaysia. Boycotting and banning muslim's hotels because of their names but outside India using Moghul's name for bread and butter. Not good! https://t.co/D5zk9TRg9M,1,Fear-Mongering & Conspiracy,Suggests anti-Muslim bias abroad while leveraging Islamic names; implies double standard.
26,Sat Jan 04 17:21:12 +0000 2025,I think the way Malaysians think words of religious figures cannot be questioned is dangerous. Muftis don't come from God they're politically appointed by royalty/ the government. Also this mentality has made it easy for many crimes + abuse to happen under cover of religion.,1,Institutional Distrust,Accuses religious leaders of fostering abuse through unquestioned authority.
27,Sun Jan 12 13:45:44 +0000 2025,JAKIM disalurkan RM1 100 juta (1.1 Billion). Pakai ke mana? Jangan malas. Ada tu. https://t.co/dQSA32Xp6g,1,Institutional Distrust,Questions Islamic institution's spending; implies misuse.
28,Mon Jan 27 07:51:22 +0000 2025,MCA Menabur Benih Benci Menjelang Sambutan Isra' Mikraj. Saya merujuk kepada siaran di Facebook MCA Johor bertarikh 26 Januari 2025 dalam tulisan Cina yang isinya mempertikaikan usaha kerajaan MADANI membantu mangsa kekejaman di Palestin serta dana untuk mencetak al Quran. https://t.co/oYHlnyc7qD,1,Cultural Resistance to Islamization,Accuses non-Muslim party of spreading hate for questioning Islamic aid/donation.
29,Mon Jan 13 06:11:25 +0000 2025,Sumbangan kepada sekolah ada dalam Belanjawan 2025. Sek agama kerajaan - RM50j Sek pondok berdaftar - RM25j Sek tahfiz - RM50j Untuk menjawab persoalan mangkuk hayun racist ini sekolah agama terima lebih 5x ganda dari sekolah swasta Cina.,1,Cultural Resistance to Islamization,Responds to budget questions with hostility; frames questioner as racist.
30,Thu Jan 02 09:15:38 +0000 2025,Dosa dan pahala adalah urusan Tuhan. Kalau Hadi Awang yang uruskan dia akan buat ikut suka hati dia. Hari ini dia cakap dosa sekularisme lebih besar dari membunuh. Saya bimbang jika ada pengikutnya yang ambil dalil ini secara serius kes seperti di Memali dulu boleh berulang.,1,Fear-Mongering & Conspiracy,Claims Islamic political rhetoric could lead to violence; incites fear.
31,Sat Jan 18 02:39:54 +0000 2025,kan dah cakap lelaki melayu bodoh ni selalu cherry pick bab agama. bila bab lelaki kahwin 4 sibuk cakap ikut sunnah nabi tapi bila sebut bab seorang bapa patut jalankan tanggungjawab dia sebagai wali tetiba cakap out of touch. lelaki macam ni lah yang wujudkan feminism.,1,Cultural Resistance to Islamization,Generalizes Malay men and criticizes religious inconsistency; offensive tone.
32,Wed Jan 15 03:04:03 +0000 2025,@will_seaborn It's not just that William. Muslims are allowed special schools to promote their education whereas Hindu religion and its practices are banned in secular schools. Our religious schools were discouraged. Muslims have their Waqf board Personal law board which provides money,1,Cultural Resistance to Islamization,Claims Muslim institutions are privileged at the expense of others.
33,Wed Jan 22 07:36:57 +0000 2025,Wow!!!! Malaysia rangking terbaik dunia. Itu pun walaun masih menjerit Islam terancam Sebenarnya yang bakal pupus tu walaun. ,1,Cultural Resistance to Islamization,Mocks fears of Islam being under threat using derogatory terms.
34,Sat Jan 25 00:51:37 +0000 2025,Lol nak gatekeep agama. Kalau ikut waqi' UK lah paling darurat untuk ambil pinjaman bank islam untuk tambah hartanah dan aset di negara kuffar. Sebaliknya Malaysia negara islam lah sepatutnya lebih tegas. Bukan buka lagi ruang untuk bank menindas rakyat kebanyakkan And for,1,Cultural Resistance to Islamization,Criticizes Islamic finance in Malaysia as exploitative; uses derogatory tone.
35,Fri Jan 10 03:34:53 +0000 2025,bila nak tarik undi orang melayu pakai songkok makan dalam talam pakai selendang tudung. ada tu guna ayat al-quran lagi. tapi bila guna gereja tokong kuil dalam video melawat malaysia agaknya dia nak tarik siapa? dan syiar apa yang nak dibawa berkenaan Malaysia ini? Kita,1,Cultural Resistance to Islamization,Accuses politicians of hypocrisy for using Islam/Malay culture only for votes.
36,Mon Jan 27 12:02:02 +0000 2025,Secular meltdown. @GarvSeSecular found this absurd. This is why I call seculars Islamic 100 percenters. More Islamist than Islamists. Can't fathom a Muslim supporting BJP ... or being non-abusive. https://t.co/eDR8VEqlzw,1,Directly Hostile Terms,Insults seculars using ìIslamic 100 percentersî; dehumanizing.
37,Mon Jan 13 10:54:47 +0000 2025,Untuk yang jarang membaca peruntukan untuk sekolah agama tergolong dalam peruntukan JAKIM. Dari 1.1 billion Madani naikkan ke 1.9 billion. Bukan Islam tak ada masalah. Jangan cari pasal dengan peruntukan 20 juta. Nak cari isu boleh tapi BIJAK sikit boleh?,1,Cultural Resistance to Islamization,Hostile reaction to budget for Islamic schools; discourages support for Islamic funding.
38,Sat Jan 04 23:50:54 +0000 2025,@chibisan__ Korang ni banyakkan berjalan lawat masjid2 dalam Malaysia banyak je yang rider musafir dan kids friendly. Eg: cyberjaya Umar Al khattab bukit Damansara Khalid Al Walid keramat etc Korang ni maybe jadi jenazah baru masuk masjid pastu nak komen berniat jahat busukkan Islam.,1,Directly Hostile Terms,"Insults people for only entering mosques at death, with intent to defame."
39,Fri Jan 03 06:39:41 +0000 2025,@MALAYSIAVIRALLL Kalau jumpa cakap kat depa buang masa saja.... Melayu dah terang2 takkan ikut. Cina pun takkan mau join sebab Cina mana ada konsep kahwin 2 3 dlm hidup depa. Kena pulak Mormon ni tak lari dari tradisi sumbangan kpd church 10% dari income.. Memang tak laa orang Cina nak join.,1,Religious Comparison,Mocks Mormonism and Islam in the context of Chinese participation.
40,Thu Jan 02 01:19:27 +0000 2025,Why does he say this? If Malaysia was secular PAS can't use religion to control and manipulate Muslims for political power like he's doing with this article. This is what happens when your country isn't secular. You let people like PAS use your religion as a political tool.,1,Cultural Resistance to Islamization,Criticizes PAS for using religion as a political tool.
41,Fri Jan 24 04:05:34 +0000 2025,@MuhammadSmiry Why don t you go to Malaysia Muhammad? Why do Muslims insist on heading to the West bringing Sharia your rules and the chaos tied to Palestinian issues? Why not stay in Malaysia a Muslim country that fully aligns with your Sharia and way of life?,1,Fear-Mongering & Conspiracy,Suggests Muslims bring chaos and Sharia with them.
42,Sun Jan 26 14:09:52 +0000 2025,Malaysia must engage in talks with the US and Israel to serve as a deportation site for these so-called Palestinians and Hamas with no option for their return to the Middle East. In exchange Malaysia would receive financial aid to accommodate them. #Terrorism #Malaysia,1,Fear-Mongering & Conspiracy,Proposes deporting Palestinians to Malaysia to isolate them.
43,Thu Jan 30 15:55:10 +0000 2025,@Osint613 Unfortunately 99% of them nurture and sympathize with these terrorists. It would be better for everyone if they moved to an Islamic country like Malaysia far from this region for good. There they can build their future while freeing the Middle East from their extreme,1,Fear-Mongering & Conspiracy,Labels Muslims as terrorist sympathizers.
44,Thu Jan 16 03:00:53 +0000 2025,@zaidibrahim So Muslims Cannot Consume Food Products Touched By Non Muslims ??? Malaysia Sharia Law Authoritarian Secular Democracy ?? Political Islamic Rule Madani Anwar JAKIM Hahahaha https://t.co/ex9FGOWhqP,1,Cultural Resistance to Islamization,Mocks Islamic laws and institutions.
45,Thu Jan 16 10:48:06 +0000 2025,@fmtoday Hey Profet UUM you do yours she does hers! Your religion restricts you not Non-Muslims! The last we checked Malaysia is still a secular democracy 3Rs or not. Observe basic human rights and decency NOT KetuananMelayuIslam. You guys are beating Malaysian harmony to death. https://t.co/XVP4revVxU,1,Cultural Resistance to Islamization,Criticizes Islam-based governance in favor of human rights.
46,Sun Jan 26 23:03:44 +0000 2025,@Sinnerlondon Malaysia is the ideal option far away from this region. Why don t the wealthy #Arab nations step up and help their Arab brothers and sisters relocate to Malaysia to start fresh and build new lives? @modgovae @uaedgov @mohapuae,1,Fear-Mongering & Conspiracy,Suggests Malaysia as a dumping ground for Arabs.
47,Sat Jan 25 13:06:43 +0000 2025,@VividProwess Almost 99% of them are either terrorists or terrorist sympathizers. Israel must prepare to relocate them to a place like Malaysia with no right to return to Gaza ever. I know my suggestion seems strange but it's the only way for the people of the region to be freed from,1,Fear-Mongering & Conspiracy,Portrays Palestinians as a threat needing permanent removal.
48,Sun Jan 26 11:36:46 +0000 2025,@Osint613 If Malaysia is chosen as the final destination for these people with no right to return to the Middle East it could be considered the best option.,1,Fear-Mongering & Conspiracy,Framing relocation to Malaysia as a security measure.
49,Sun Jan 26 17:18:38 +0000 2025,@Mr_Andrew_Fox @SiaKordestani All of these so-called Palestinians must be deported to an Islamic country far removed from the Middle East. Malaysia appears to be the ideal location to serve as their depot site.,1,Fear-Mongering & Conspiracy,Frames Palestinians as a danger needing to be deported.
50,Sun Jan 26 13:52:55 +0000 2025,@visegrad24 The best destination for all of them would be Malaysia with no option to return to the Middle East ever. This would minimize the risks of terrorism created by this group to the greatest extent.,1,Fear-Mongering & Conspiracy,Pushes for permanent exile of Palestinians to Malaysia.
51,Sun Jan 26 18:27:04 +0000 2025,I believe @Malaysia @MalaysianGov could effectively address this significant issue and greatly benefit their country by taking responsibility for these Muslims. With financial assistance from Islamic countries they could not only reeducate this population but also redirect the,1,Fear-Mongering & Conspiracy,Implies Muslims need reeducation in Malaysia.
52,Sun Jan 26 18:34:57 +0000 2025,@malaysia @MalaysianGov The Arab countries should take responsibility for transporting these people to Malaysia and provide financial support to the Malaysian government for a period of about five years. This support would cover housing food education and other necessities. The only condition would,1,Fear-Mongering & Conspiracy,Proposes Arab-funded refugee relocation to Malaysia.
53,Sun Jan 26 22:04:52 +0000 2025,@malaysia @MalaysianGov Arab governments like the UAE @HSajwanization should take responsibility. Instead of spending billions on luxury and unnecessary expenditures they could allocate just a fraction of that wealth to help the remnants of Hamas and so-called Palestinians relocate to Malaysia where,1,Fear-Mongering & Conspiracy,Wants Arab countries to send Hamas-linked people to Malaysia.
54,Thu Jan 16 18:20:29 +0000 2025,When Malaysia with 40% non-Muslims did dump secularism for Islamic republic in 1973 how can Bangladesh with 90% Muslims stay secular and that too when a Noble Laureate is in charge? Only Indian constitution is God(Congress) made and only Congress can change it but not BJP! Why?,1,Fear-Mongering & Conspiracy,Falsely claims Malaysia abandoned secularism for Islamic republic; implies threat.
55,Thu Jan 30 01:42:45 +0000 2025,@mark_slapinski You seem like a cute couple sorry you re going but it s not our job to provide a Muslim culture for you. I don t want to hear a prayer call several times a day it s dissonant in tone in a secular humanist society. Safe travels hope Malaysia provides what you re looking for.,1,Cultural Resistance to Islamization,Rejects Islamic cultural presence in secular society; hostile tone.
56,Mon Jan 13 23:40:19 +0000 2025,@DaveAtherton20 There should be two laws in UK . One secular for other religion and another is Sharia for Muslims . Any crime by Muslim should be treated as per Sharia law. UK will be law abiding country like UAE where you hardly hear any crime Similar law exist in countries like Malaysia,1,Religious Supremacy,Calls for Sharia law for Muslims in UK; promotes parallel legal systems.
57,Fri Jan 17 12:25:46 +0000 2025,@khoyahua14 @Mahaveer_VJ Malaysia has only 63% Muslims majority of them are namesake Muslims like Indian Muslims before Tabligi Jamat who used to name their children as Ram Shyam. Indonesia has a larger Muslim population but culture is more Sanatani than Islamic in a huge majority. 2/x,1,Directly Hostile Terms,Derides Malaysian Muslims as 'namesake Muslims'; generalization and mockery.
58,Sat Jan 18 11:37:14 +0000 2025,@SGMGTOW @astaf_gorilla The same left are okay with sparing the lives of drug mules who damage the thin fabric of our secular society. Since the left now wants to question the preparedness of the SPF instead they should eat their passports and move away to Malaysia where policing is more laissez-faire.,1,Cultural Resistance to Islamization,Criticizes secular society for being lenient and suggests Malaysia is less strict.
59,Tue Jan 07 13:02:19 +0000 2025,@fmtoday There's a reason why secular Chinese-dominant states in Malaysia are more palatable than backwards and religiously extremist ones run by corrupt fundamentalists hell-bent on forcing their antiquated laws on others with no sense of proper governance.,1,Directly Hostile Terms,Labels religious states as 'backwards' and 'extremist'; hostile and dehumanizing.
60,Tue Jan 07 14:50:53 +0000 2025,@CuteAaruhi2 Those who talk shit about muslims at least they don't drink cow urine like lindus Muslim countries where islamic rule prevails are the safest like dubai suadi arab qatar malaysia turkey indonesia iran etc etc and if we talk about india where daily rape happens,1,Directly Hostile Terms,Mocks Hindu and Muslim practices; demeaning and hateful.
61,Wed Jan 08 07:44:48 +0000 2025,@elonmusk Exactly just look at dubai qatar suadi arab malaysia indonesia turkey iran iraq these are are muslim countries just look how they are suffering they are the most UNPEACEFUL countries where non muslims cant even exsist. The most safest country is a muslim country lol,1,Directly Hostile Terms,Generalizes Muslim countries as violent and intolerant toward non-Muslims; dehumanizing and inflammatory
62,Mon Mar 17 05:51:21 +0000 2025,They repeatedly assert that Islamic regulations apply solely to Muslims and have no bearing on non-Muslims urging non-Muslims to refrain from commenting since it s not their concern and to remain silent on any Islamic matter. Now you know what that means. #Malaysia https://t.co/Td7QCVDBQU,1,Cultural Resistance to Islamization,"Criticizes Muslims for telling non-Muslims to avoid Islamic matters, implying exclusion and silencing."
63,Sun Mar 09 13:29:25 +0000 2025,When I was in Malaysia I couldn t shake the feeling that something was off. The billboards proudly proclaimed: Malaysia Truly Asia. But all I saw were niqabs Halal food and an entire culture bending over backwards to Gulf tourists. Have you noticed similar cultural shifts https://t.co/Nddk6k6Gjn,1,Cultural Resistance to Islamization,Frames Malaysian culture as overly Islamic and catering to Gulf tourists; implies cultural loss.
64,Tue Mar 04 13:03:27 +0000 2025,India is secular only because its Hindu majority country - K K Muhammed Why only Hindus are playing this fake secularism? https://t.co/dEHv77GaOv,1,Religious Supremacy,Asserts that only Hinduism enables secularism and disparages Muslims as fake secularists.
65,Sun Mar 30 07:09:09 +0000 2025,India is secular only because it is a Hindu majority country. This is the greatness of Hinduism. If Rama and Krishna are not your Itihasa purusha your national heroes you are not a perfect Muslim. - Dr KK Muhammed suspended for discovering that a temple once stood under Babri. https://t.co/Bh0RKC3XbC,1,Religious Supremacy,"States that Muslims are not ""perfect"" without embracing Hindu figures; demeaning theological superiority."
66,Sat Feb 08 12:35:51 +0000 2025,In Malaysia: You can be born into a religion. You can be punished for leaving it. You can t legally change your faith. You can t question religious authorities. And then people wonder why some run for the door.,1,Cultural Resistance to Islamization,Highlights restrictions on religious freedom in Malaysia with a negative framing of Islamic policies.
67,Wed Feb 12 00:01:50 +0000 2025, But muh Malaysia! is the mid-wit's reply to Muslim blackpillers. The average person knows nothing about Malaysia. The pagan Chinese carry the country. Malay Muslims required affirmative action. Zakir Naik offended Chinese sensibilities (calling them guests of Muslims) and he,1,Directly Hostile Terms,Claims Malay Muslims depend on handouts and calls Chinese the real contributors; demeaning and divisive.
68,Fri Mar 21 03:35:17 +0000 2025,Malaysia to destroy old Hindu mandir to build a new mosque in capital Kuala Lumpur. Malaysian PM Anwar Ibrahim is going to attend the groundbreaking ceremony later this month for the new mosque 'Masjid Madani' that will be built after destroying the 19th century Hindu mandir https://t.co/9xFBN5lbMP,1,Fear-Mongering & Conspiracy,Alleges mosque construction involves destruction of Hindu temple; inflammatory framing.
69,Tue Mar 25 14:16:41 +0000 2025,A 130-year-old Hindu temple in Malaysia faces demolition threat to make way for a mosque Story of every temple since 624 CE https://t.co/DJ8aJBkLzA,1,Fear-Mongering & Conspiracy,Frames mosque construction as systematic religious oppression since 624 CE; historical generalization.
70,Sat Mar 01 11:59:52 +0000 2025,Usual scene in Malaysia: Hey this is my land your mosque/church/temple was built illegally here please relocate. Others in Malaysia: Concur. Malaysian Hindutvas: Riots kills civil servants demand gov to compensate them for their illegally built temples.,1,Directly Hostile Terms,Portrays Malaysian Hindus as violent and unreasonable; dehumanizing.
71,Wed Mar 26 09:46:53 +0000 2025,Oppressive Malaysian authorities plan to demolish 131-year old Hindu Mandir to make way for a mosque Malaysian Prime Minister Anwar Ibrahim s insistence on the ground-breaking ceremony for the planned mosque is another example of rising religious intolerance and oppression in https://t.co/ov5sN8iLLS,1,Fear-Mongering & Conspiracy,Frames mosque construction as symbol of rising religious oppression; incites fear.
72,Fri Mar 21 04:45:04 +0000 2025,Minorities learned the harsh lesson: Malaysia is only for the Malays to live; Islam has diluted their pre-Islamic past to Arabian culture and any sense of Pre-Islamic Malaysia has been lost to time. When this temple is demolished they'll be targeting The Batu Caves the Kek https://t.co/ISJqYfojnj,1,Fear-Mongering & Conspiracy,Frames Islam as erasing pre-Islamic culture and threatening Hindu sites.
73,Wed Feb 05 14:02:06 +0000 2025,I can tell you Saravanan speaks for 95% of the non-Muslim community. They cannot understand why a Unity Govt would put up so many barriers between Muslims and non-Muslims. Can someone explain to the non-Muslims in Malaysia? Who are these people who wake up every morning https://t.co/YAlXtLCBa9,1,Cultural Resistance to Islamization,Frames Muslims as creating barriers and excluding non-Muslims.
74,Fri Feb 07 03:31:11 +0000 2025,Malaysia juga tak perlulah Wong untuk menentukan apa yang boleh atau tidak negara ini ada Jabatan Agama ada majlis agama dan Islam dibawah Sultan dan YDPA.. boleh tak jangan masuk campur..?? https://t.co/VcX10ZxFBf,1,Cultural Resistance to Islamization,Tells others not to interfere in Islamic governance; exclusionary tone.
75,Fri Mar 21 06:07:36 +0000 2025,Malaysia: Prominent 130-year-old Hindu temple in the centre of Kuala Lumpur set to be moved to make way for the construction of a mosque https://t.co/yqojw0Yqdd,1,Fear-Mongering & Conspiracy,Frames mosque construction as displacing Hindu worship; incites cultural conflict.
76,Thu Feb 06 07:14:19 +0000 2025,Malaysians Muslim or not do not need Jakim's Madani's nor anyone's permission to live our own multicultural lives. The only guidelines needed are to kindly ask the Government to eff off from threatening Malaysian unity and go fix the economy &amp; corruption.,1,Cultural Resistance to Islamization,Strongly rejects religious governance; portrays Islamic institutions as threats.
77,Fri Mar 21 17:30:00 +0000 2025,Malaysia: Prominent 130-year-old Hindu temple in the centre of Kuala Lumpur set to be moved to make way for the construction of a mosque https://t.co/yqojw0Yqdd,1,Fear-Mongering & Conspiracy,Duplicate of 233; same framing and tone.
78,Wed Feb 26 08:00:57 +0000 2025,Antara sebab kenapa etnik Cina susah untuk berasimilasi ke dalam budaya tempatan (whatever the f*ck that means) ialah kerana CORE CULTURE negara Malaysia sendiri identiti ke-Melayu-an itu terikat dengan agama Islam. Ini berbeza dengan identiti Indonesia yang fleksibel.,1,Cultural Resistance to Islamization,Frames Islam as preventing Chinese assimilation; hostile generalization.
79,Sun Mar 09 07:47:16 +0000 2025,@SyedAsriq94 Tuan non Malays tak respek Meleis sebab hipokrit. Terpaling syariah nak tangkap ponteng puasa tapi tak berani nak tangkap perasuah penyamun pembunuh perokok etc. Double standard tu mmg tak dapat respect lah. ,1,Cultural Resistance to Islamization,Depicts Muslims as hypocrites and unworthy of respect; antagonistic tone.
