Id,created_at,full_text,translated_text,label,type,explanation,cleaned_text
16,Thu Jan 09 07:01:45 +0000 2025,Haritu ada geng liberal kata melayu tak welcoming terhadap non-muslims utk masuk masjid siap buat meme lagi that s why tak ramai masuk islam katanya. Now mintak suruh letak masjid dalam video promosi punya la payah. Siap tanya mana dalil dasar penunggang agama. Bangang.,There was a liberal gang saying that Malay was not welcoming against non-Muslims to enter the mosque ready to meme again that S why not many converts to Islam. Now ask for a mosque in a promotional video. Ready to ask where the policy of religious riders is. Wake up.,1,Cultural Resistance to Islamization,Insults liberal Muslims and mocks religious promotional policies with vulgarity.,there was a liberal gang saying that malay was not welcoming against nonmuslims to enter the mosque ready to meme again that s why not many converts to islam now ask for a mosque in a promotional video ready to ask where the policy of religious riders is wake up
17,Mon Jan 06 15:02:27 +0000 2025,Remind the ignorant members of DAP especially @hannahyeoh that Malaysia has Islam as the country's official religion and a native Muslim populace. It's not a Christian country nor a fully secular country. Stop repeating the pro-Zionist Evangelical hate preachers' talking points.,Remind the ignorant members of DAP especially @hannahyeoh that Malaysia has Islam as the country's official religion and a native Muslim populace. It's not a Christian country nor a fully secular country. Stop repeating the pro-Zionist Evangelical hate preachers' talking points.,1,Cultural Resistance to Islamization,Attacks DAP and evangelicals while asserting Muslim primacy; mixes anti-Christian resentment.,remind the ignorant members of dap especially  that malaysia has islam as the countrys official religion and a native muslim populace its not a christian country nor a fully secular country stop repeating the prozionist evangelical hate preachers talking points
18,Sun Jan 05 11:25:49 +0000 2025,@zaidibrahim Islam being the official religion has been overly abused far too much in Secular Malaysia since 1969 against non Muslim migrant races and for Malay and Muslim supremacy especially by Makutty and Anwar using the Natives of Sabah and Sarawak as useful 'tools' .Reforms? https://t.co/xgHkD4AFcc,@zaidibrahim Islam being the official religion has been overly abused far too much in Secular Malaysia since 1969 against non Muslim migrant races and for Malay and Muslim supremacy especially by Makutty and Anwar using the Natives of Sabah and Sarawak as useful 'tools' .Reforms? https://t.co/xgHkD4AFcc,1,Institutional Distrust,Accuses Islam of being abused for ethnic supremacy since 1969; distrusts Islamic governance.,islam being the official religion has been overly abused far too much in secular malaysia since  against non muslim migrant races and for malay and muslim supremacy especially by makutty and anwar using the natives of sabah and sarawak as useful tools reforms
19,Thu Jan 30 14:23:04 +0000 2025,Mamat ni Ahli Majlis MBPG dari parti MCA. Dia tulis posting dalam bahasa Cina yang translationnya seolah2 mengata Melayu gila Ceritanya dia setuju dengan hasutan MCA Johor yang persoalkan polisi Kerajaan ke atas Palestin dan JAKIM dan derma Al-Quran seluruh dunia. Dia https://t.co/d0LbCuJQ6i,Mamat is a MBPG council member from the MCA party. He wrote a post in Chinese translation as if he were saying crazy Malay he agreed with the Johor MCA sedition that questioned the government policy on Palestine and JAKIM and the Quranic donation worldwide. She https://t.co/d0lbcujq6i,1,Cultural Resistance to Islamization,Frames critique of Islamic institutions as racial provocation. Implicit cultural clash.,mamat is a mbpg council member from the mca party he wrote a post in chinese translation as if he were saying crazy malay he agreed with the johor mca sedition that questioned the government policy on palestine and jakim and the quranic donation worldwide she
20,Fri Jan 10 02:55:35 +0000 2025,Nak datang malaysia boleh tapi cari kerja proper la. Ni sibuk buat bisnes haram tepi jalan la kedai makan ntah halal ke tak photographer haram la kutip duit parking sedekah. Semak gile buruk pemandangan,I want to come to Malaysia but find a proper job. This is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money. Check the bad gile of the scene,1,Cultural Resistance to Islamization,"Associates haram business with foreign presence, with disdainful tone.",i want to come to malaysia but find a proper job this is busy for illegal business on the road to the halal eatery to the illegal photographer and the charity money check the bad gile of the scene
21,Wed Jan 08 09:26:05 +0000 2025,From cased studi movement from Malaysia it just bunch if moron btw. And yup they get label by wahabi (this baration was intriduce by secular and patriot). While it's clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,From cased studi movement from Malaysia it just bunch if moron btw. And yup they get label by wahabi (this baration was intriduce by secular and patriot). While it's clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root,1,Directly Hostile Terms,Insults religious movements from Malaysia and Arab world; demeaning and dismissive.,from cased studi movement from malaysia it just bunch if moron btw and yup they get label by wahabi this baration was intriduce by secular and patriot while its clear many sheikh like hakeem and many in arab wahab just scholar and just leave every mazhab and back to the root
22,Sat Jan 25 14:27:22 +0000 2025,This is The Malay Hipocrisy Dilemma! Tak makan babi tak tinggal solat puasa cukup satu bulan umrah setiap tahun tapi rasuah dan menyamun.,This is the Malay hipocrisy dilemma! Do not eat pigs not to pray fast enough for one month of umrah every year but corruption and robbery.,1,Cultural Resistance to Islamization,Frames Malay religiosity as superficial; cynical and dismissive.,this is the malay hipocrisy dilemma do not eat pigs not to pray fast enough for one month of umrah every year but corruption and robbery
23,Sun Jan 19 02:49:36 +0000 2025,Malaysia must abandon secular ideas and influence and focus on building the country around Islamic values in accordance with the Federal Constitution.,Malaysia must abandon secular ideas and influence and focus on building the country around Islamic values in accordance with the Federal Constitution.,1,Religious Supremacy,Advocates abandoning secularism in favor of Islamic rule.,malaysia must abandon secular ideas and influence and focus on building the country around islamic values in accordance with the federal constitution
24,Thu Jan 23 13:54:22 +0000 2025,mestilah freedom of belief is just imaginary in Malaysia. freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff. freedom of beliefs but you could be punished with death for denouncing the religion. freedom of beliefs they say but,mestilah freedom of belief is just imaginary in Malaysia. freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff. freedom of beliefs but you could be punished with death for denouncing the religion. freedom of beliefs they say but,1,Cultural Resistance to Islamization,"Highlights supposed contradictions in religious freedom, with accusatory tone.",mestilah freedom of belief is just imaginary in malaysia freedom of beliefs they say but you are not allowed to wear a cross necklace as a restaurant staff freedom of beliefs but you could be punished with death for denouncing the religion freedom of beliefs they say but
25,Thu Jan 23 19:40:38 +0000 2025,Moghul Mahal Restaurent in Kuala Lumpur Tower in the capital of Malaysia. Boycotting and banning muslim's hotels because of their names but outside India using Moghul's name for bread and butter. Not good! https://t.co/D5zk9TRg9M,Moghul Mahal Restaurent in Kuala Lumpur Tower in the capital of Malaysia. Boycotting and banning muslim's hotels because of their names but outside India using Moghul's name for bread and butter. Not good! https://t.co/D5zk9TRg9M,1,Fear-Mongering & Conspiracy,Suggests anti-Muslim bias abroad while leveraging Islamic names; implies double standard.,moghul mahal restaurent in kuala lumpur tower in the capital of malaysia boycotting and banning muslims hotels because of their names but outside india using moghuls name for bread and butter not good
26,Sat Jan 04 17:21:12 +0000 2025,I think the way Malaysians think words of religious figures cannot be questioned is dangerous. Muftis don't come from God they're politically appointed by royalty/ the government. Also this mentality has made it easy for many crimes + abuse to happen under cover of religion.,I think the way Malaysians think words of religious figures cannot be questioned is dangerous. Muftis don't come from God they're politically appointed by royalty/ the government. Also this mentality has made it easy for many crimes + abuse to happen under cover of religion.,1,Institutional Distrust,Accuses religious leaders of fostering abuse through unquestioned authority.,i think the way malaysians think words of religious figures cannot be questioned is dangerous muftis dont come from god theyre politically appointed by royalty the government also this mentality has made it easy for many crimes  abuse to happen under cover of religion
27,Sun Jan 12 13:45:44 +0000 2025,JAKIM disalurkan RM1 100 juta (1.1 Billion). Pakai ke mana? Jangan malas. Ada tu. https://t.co/dQSA32Xp6g,Jakim is channeled RM1 100 million (1.1 billion). Where do you use it? Do not be lazy. There is tu. https://t.co/dqsa32xp6g,1,Institutional Distrust,Questions Islamic institution's spending; implies misuse.,jakim is channeled rm  million  billion where do you use it do not be lazy there is tu
28,Mon Jan 27 07:51:22 +0000 2025,MCA Menabur Benih Benci Menjelang Sambutan Isra' Mikraj. Saya merujuk kepada siaran di Facebook MCA Johor bertarikh 26 Januari 2025 dalam tulisan Cina yang isinya mempertikaikan usaha kerajaan MADANI membantu mangsa kekejaman di Palestin serta dana untuk mencetak al Quran. https://t.co/oYHlnyc7qD,"MCA sows hate seeds ahead of Isra 'Mikraj's celebration. I refer to the broadcast on the Johor MCA Facebook date dated January 26, 2025 in a Chinese text which contains the efforts of the Madani government to help the victims of Palestine atrocities and funds to print the Quran. https://t.co/oyhlnyc7qd",1,Cultural Resistance to Islamization,Accuses non-Muslim party of spreading hate for questioning Islamic aid/donation.,mca sows hate seeds ahead of isra mikrajs celebration i refer to the broadcast on the johor mca facebook date dated january   in a chinese text which contains the efforts of the madani government to help the victims of palestine atrocities and funds to print the quran
29,Mon Jan 13 06:11:25 +0000 2025,Sumbangan kepada sekolah ada dalam Belanjawan 2025. Sek agama kerajaan - RM50j Sek pondok berdaftar - RM25j Sek tahfiz - RM50j Untuk menjawab persoalan mangkuk hayun racist ini sekolah agama terima lebih 5x ganda dari sekolah swasta Cina.,Contributions to schools are in Budget 2025. Government Religious - RM50j Registered Cottage - RM25J Sek Tahfiz - RM50j to answer the question of this Racist Hayun Racist bowl receives more than 5x double from Chinese private schools.,1,Cultural Resistance to Islamization,Responds to budget questions with hostility; frames questioner as racist.,contributions to schools are in budget  government religious  rmj registered cottage  rmj sek tahfiz  rmj to answer the question of this racist hayun racist bowl receives more than x double from chinese private schools
30,Thu Jan 02 09:15:38 +0000 2025,Dosa dan pahala adalah urusan Tuhan. Kalau Hadi Awang yang uruskan dia akan buat ikut suka hati dia. Hari ini dia cakap dosa sekularisme lebih besar dari membunuh. Saya bimbang jika ada pengikutnya yang ambil dalil ini secara serius kes seperti di Memali dulu boleh berulang.,Sin and reward are God's business. If Hadi Awang took care of him he would do his heart. Today he says the sin of secularism is greater than killing. I am worried that if any of his followers take this argument seriously a case such as Memali can be repeated.,1,Fear-Mongering & Conspiracy,Claims Islamic political rhetoric could lead to violence; incites fear.,sin and reward are gods business if hadi awang took care of him he would do his heart today he says the sin of secularism is greater than killing i am worried that if any of his followers take this argument seriously a case such as memali can be repeated
31,Sat Jan 18 02:39:54 +0000 2025,kan dah cakap lelaki melayu bodoh ni selalu cherry pick bab agama. bila bab lelaki kahwin 4 sibuk cakap ikut sunnah nabi tapi bila sebut bab seorang bapa patut jalankan tanggungjawab dia sebagai wali tetiba cakap out of touch. lelaki macam ni lah yang wujudkan feminism.,Kan said this stupid man is always cherry picking religion. When a married man 4 is busy talking to the Sunnah of the Prophet but when a father's chapter he should take his responsibility as a guardian of the out of touch. This kind of guy creates feminism.,1,Cultural Resistance to Islamization,Generalizes Malay men and criticizes religious inconsistency; offensive tone.,kan said this stupid man is always cherry picking religion when a married man  is busy talking to the sunnah of the prophet but when a fathers chapter he should take his responsibility as a guardian of the out of touch this kind of guy creates feminism
32,Wed Jan 15 03:04:03 +0000 2025,@will_seaborn It's not just that William. Muslims are allowed special schools to promote their education whereas Hindu religion and its practices are banned in secular schools. Our religious schools were discouraged. Muslims have their Waqf board Personal law board which provides money,@will_seaborn It's not just that William. Muslims are allowed special schools to promote their education whereas Hindu religion and its practices are banned in secular schools. Our religious schools were discouraged. Muslims have their Waqf board Personal law board which provides money,1,Cultural Resistance to Islamization,Claims Muslim institutions are privileged at the expense of others.,its not just that william muslims are allowed special schools to promote their education whereas hindu religion and its practices are banned in secular schools our religious schools were discouraged muslims have their waqf board personal law board which provides money
33,Wed Jan 22 07:36:57 +0000 2025,Wow!!!! Malaysia rangking terbaik dunia. Itu pun walaun masih menjerit Islam terancam Sebenarnya yang bakal pupus tu walaun. ,"WOW !!!! Malaysia is the best role of the world. Even if you still scream at the end of Islam, it will be the most likely to be extinct.",1,Cultural Resistance to Islamization,Mocks fears of Islam being under threat using derogatory terms.,wow  malaysia is the best role of the world even if you still scream at the end of islam it will be the most likely to be extinct
34,Sat Jan 25 00:51:37 +0000 2025,Lol nak gatekeep agama. Kalau ikut waqi' UK lah paling darurat untuk ambil pinjaman bank islam untuk tambah hartanah dan aset di negara kuffar. Sebaliknya Malaysia negara islam lah sepatutnya lebih tegas. Bukan buka lagi ruang untuk bank menindas rakyat kebanyakkan And for,"LOL NAK GATEKEEP RELIGION. If you follow the waqi 'uk it is the most emergency to take on bank loans to increase real estate and assets in the country. On the contrary, Malaysia's Islamic State should be more strict. No more open space for banks to oppress most people and for",1,Cultural Resistance to Islamization,Criticizes Islamic finance in Malaysia as exploitative; uses derogatory tone.,lol nak gatekeep religion if you follow the waqi uk it is the most emergency to take on bank loans to increase real estate and assets in the country on the contrary malaysias islamic state should be more strict no more open space for banks to oppress most people and for
35,Fri Jan 10 03:34:53 +0000 2025,bila nak tarik undi orang melayu pakai songkok makan dalam talam pakai selendang tudung. ada tu guna ayat al-quran lagi. tapi bila guna gereja tokong kuil dalam video melawat malaysia agaknya dia nak tarik siapa? dan syiar apa yang nak dibawa berkenaan Malaysia ini? Kita,When you want to pull the votes of the Malay people with a luncheon eating in a scarf with a scarf. There is another Quranic verse. But when you use the temple church in a video visiting Malaysia how much does he want to pull? And what kind of shame to bring about Malaysia? Us,1,Cultural Resistance to Islamization,Accuses politicians of hypocrisy for using Islam/Malay culture only for votes.,when you want to pull the votes of the malay people with a luncheon eating in a scarf with a scarf there is another quranic verse but when you use the temple church in a video visiting malaysia how much does he want to pull and what kind of shame to bring about malaysia us
36,Mon Jan 27 12:02:02 +0000 2025,Secular meltdown. @GarvSeSecular found this absurd. This is why I call seculars Islamic 100 percenters. More Islamist than Islamists. Can't fathom a Muslim supporting BJP ... or being non-abusive. https://t.co/eDR8VEqlzw,Secular meltdown. @GarvSeSecular found this absurd. This is why I call seculars Islamic 100 percenters. More Islamist than Islamists. Can't fathom a Muslim supporting BJP ... or being non-abusive. https://t.co/eDR8VEqlzw,1,Directly Hostile Terms,Insults seculars using Islamic 100 percenters; dehumanizing.,secular meltdown  found this absurd this is why i call seculars islamic  percenters more islamist than islamists cant fathom a muslim supporting bjp  or being nonabusive
37,Mon Jan 13 10:54:47 +0000 2025,Untuk yang jarang membaca peruntukan untuk sekolah agama tergolong dalam peruntukan JAKIM. Dari 1.1 billion Madani naikkan ke 1.9 billion. Bukan Islam tak ada masalah. Jangan cari pasal dengan peruntukan 20 juta. Nak cari isu boleh tapi BIJAK sikit boleh?,For those who rarely read the provisions for religious schools belong to JAKIM's provisions. From 1.1 billion Madani raised to 1.9 billion. Non -Muslims have no problem. Do not look for an allocation of 20 million. Want to find an issue can but be a little smart?,1,Cultural Resistance to Islamization,Hostile reaction to budget for Islamic schools; discourages support for Islamic funding.,for those who rarely read the provisions for religious schools belong to jakims provisions from  billion madani raised to  billion non muslims have no problem do not look for an allocation of  million want to find an issue can but be a little smart
38,Sat Jan 04 23:50:54 +0000 2025,@chibisan__ Korang ni banyakkan berjalan lawat masjid2 dalam Malaysia banyak je yang rider musafir dan kids friendly. Eg: cyberjaya Umar Al khattab bukit Damansara Khalid Al Walid keramat etc Korang ni maybe jadi jenazah baru masuk masjid pastu nak komen berniat jahat busukkan Islam.,@Cheaprint__ This is a lot of mosques in Malaysia in Malaysia many riders and kids friendly. Eg: Cyberjaya Umar Al Khattab Bukit Damansara Khalid Al Walid Keramat etc korang ni maybe so the new body goes to the mosque for sure to comment malicious Islam.,1,Directly Hostile Terms,"Insults people for only entering mosques at death, with intent to defame.",this is a lot of mosques in malaysia in malaysia many riders and kids friendly eg cyberjaya umar al khattab bukit damansara khalid al walid keramat etc korang ni maybe so the new body goes to the mosque for sure to comment malicious islam
39,Fri Jan 03 06:39:41 +0000 2025,@MALAYSIAVIRALLL Kalau jumpa cakap kat depa buang masa saja.... Melayu dah terang2 takkan ikut. Cina pun takkan mau join sebab Cina mana ada konsep kahwin 2 3 dlm hidup depa. Kena pulak Mormon ni tak lari dari tradisi sumbangan kpd church 10% dari income.. Memang tak laa orang Cina nak join.,@MalaysiaAviralll if you see you just waste your time .... Malay is clear. The Chinese will not want to join because the Chinese have 2 3 marriage concepts in their lives. This Mormon has not run away from the tradition of donating to church 10% of the income .. it is not the Chinese to join.,1,Religious Comparison,Mocks Mormonism and Islam in the context of Chinese participation.,if you see you just waste your time  malay is clear the chinese will not want to join because the chinese have   marriage concepts in their lives this mormon has not run away from the tradition of donating to church  of the income  it is not the chinese to join
40,Thu Jan 02 01:19:27 +0000 2025,Why does he say this? If Malaysia was secular PAS can't use religion to control and manipulate Muslims for political power like he's doing with this article. This is what happens when your country isn't secular. You let people like PAS use your religion as a political tool.,Why does he say this? If Malaysia was secular PAS can't use religion to control and manipulate Muslims for political power like he's doing with this article. This is what happens when your country isn't secular. You let people like PAS use your religion as a political tool.,1,Cultural Resistance to Islamization,Criticizes PAS for using religion as a political tool.,why does he say this if malaysia was secular pas cant use religion to control and manipulate muslims for political power like hes doing with this article this is what happens when your country isnt secular you let people like pas use your religion as a political tool
